id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
93,GU,92,1,NAT,NA,NA,14,0.309,13,G3_03D,3
94,GU,86,0,NAT,NA,NA,12,NA,20,G3_03D,3
95,GU,94,1,NAT,NA,NA,12,0.214,8,G3_03D,3
96,GU,86,0,NAT,NA,NA,10,NA,22,G3_03D,3
97,GU,96,1,NAT,NA,NA,2,0.272,9,G3_03D,3
98,GU,86,0,NAT,NA,NA,12,NA,20,G3_03D,3
99,GU,98,1,NAT,NA,NA,12,0.213,8,G3_03D,3
100,GU,3,1,NAT,NA,NA,0,NA,18,NA,3
101,GU,100,1,NAT,NA,NA,0,NA,13,NA,3
102,GU,101,1,NAT,NA,NA,0,NA,28,NA,3
103,GU,102,1,NAT,NA,NA,0,NA,6,NA,3
104,GU,103,1,NAT,NA,NA,0,NA,14,NA,3
105,GU,104,1,NAT,NA,NA,0,NA,17,NA,3
106,GU,105,1,NAT,NA,NA,0,NA,6,NA,3
107,GU,106,1,NAT,NA,NA,0,NA,4,NA,3
108,GU,107,1,NAT,NA,NA,0,NA,8,NA,3
109,GU,108,1,NAT,NA,NA,0,NA,18,NA,3
110,GU,109,1,NAT,NA,NA,2,1.207,9,NA,3
111,GU,104,0,NAT,NA,NA,0,NA,9,NA,3
112,GU,111,1,NAT,NA,NA,0,NA,3,NA,3
113,GU,112,1,NAT,NA,NA,0,0.7565,9,NA,3
114,GU,113,0,NAT,NA,NA,6,0.2365,15,G3_01J,3
115,GU,112,0,NAT,NA,NA,7,0.2565,16,G3_01J,3
116,GU,111,0,NAT,NA,NA,3,0.223,12,G3_01J,3
117,GU,102,0,NAT,NA,NA,7,0.265,12,G3_01K,3
118,GU,100,0,NAT,NA,NA,10,0.233,9,G3_01L,3
119,GU,3,0,NAT,NA,NA,11,0.385,18,G3_01L,3
120,GU,3,0,NAT,NA,NA,1,0.22,8,G3_01L,3
121,GU,110,1,NAT,NA,NA,0,1.0485,20,NA,3
122,GU,121,0,NAT,NA,NA,0,NA,14,NA,3
123,GU,122,0,NAT,NA,NA,5,0.1615,6,G3_01C,3
124,GU,122,0,NAT,NA,NA,8,NA,8,G3_01C,3
125,GU,124,1,NAT,NA,NA,3,NA,4,G3_01C,3
126,GU,125,1,NAT,NA,NA,3,0.1555,2,G3_01C,3
127,GU,121,0,NAT,NA,NA,0,NA,11,NA,3
128,GU,127,1,NAT,NA,NA,0,NA,5,NA,3
129,GU,128,1,NAT,NA,NA,6,NA,9,G3_01B,3
130,GU,129,1,NAT,NA,NA,7,0.2205,6,G3_01B,3
131,GU,121,0,NAT,NA,NA,0,NA,18,NA,3
132,GU,131,0,NAT,NA,NA,3,NA,6,G3_01A,3
133,GU,132,1,NAT,NA,NA,3,NA,6,G3_01A,3
134,GU,133,1,NAT,NA,NA,9,0.222,7,G3_01A,3
135,GU,131,0,NAT,NA,NA,5,NA,10,G3_01A,3
136,GU,135,1,NAT,NA,NA,8,NA,6,G3_01A,3
137,GU,136,1,NAT,NA,NA,12,NA,9,G3_01A,3
138,GU,137,1,NAT,NA,NA,2,0.196,5,G3_01A,3
139,GU,110,0,NAT,NA,NA,0,NA,10,NA,3
140,GU,139,1,NAT,NA,NA,0,NA,8,NA,3
141,GU,140,1,NAT,NA,NA,3,NA,4,G3_01F,3
142,GU,141,1,NAT,NA,NA,6,0.183,5,G3_01F,3
143,GU,110,0,NAT,NA,NA,0,NA,11,NA,3
